,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,targetname,datetime_str,datetime_jd,M1,solar_presence,k1,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,Limiting,Saturation
175,c4d_151024_081810_opi_g_v1.fits.fz 05e143220c715524bd7c0a0def12b1cf,57319.3448576783,g,90,74.1654989540684,-25.5197859975481,DES survey hex 736-268 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/05e143220c715524bd7c0a0def12b1cf,,PANSTARRS (C/2012 A1),2004-Jul-12 04:22:23.359,2453198.682214803,10.1,,5.25,,217.584262905,49.185096243,217.627246378,49.169289551,-3.52463,-4.86667,,,,,353391.122,98071.168,39.304,,999,,23.477,,99.9371,,299767.7,*,,,,,,296.11,0.0,,,192.597272,58.973307,20.14104410088,-7.4028576,20.2349265867433,7.7889319,168.28875279,9.3785743,25.704036,83.2688,/T,2.8746,110.5,23.4292,93.8902,116.024,125.767,0.52826,Boo,64.183771,187.1807725,58.5386279,,,88.774857,60.861883,,0.0,3.281,2.658,4.199,0.445,-38.871,5.8662941,4.223,95671.5019,0.0005129,8.59,31.22,0.638252,255.6683,,2.8743,189.8432,58.7827,24.0,16.0
176,c4d_151024_082012_opi_r_v1.fits.fz 5b6b088b492b3944e2732acbe18ee934,57319.3462481876,r,90,74.1653178402321,-25.5199445156083,DES survey hex 754-258 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/5b6b088b492b3944e2732acbe18ee934,,PANSTARRS (C/2012 A1),2004-Jul-13 04:22:23.359,2453199.682214803,10.1,,5.25,,217.548884701,49.152485159,217.591792885,49.136697162,-3.41175,-4.91881,,,,,350232.827,98472.446,39.621,,999,,23.477,,99.93721,,297985.9,*,,,,,,295.26,0.0,,,192.578957,58.973951,20.13676861073,-7.4031795,20.2394127871049,7.7452499,168.32606338,9.3795776,25.6076515,82.7739,/T,2.8721,104.6,15.9028,94.3876,115.176,125.694,0.56824,Boo,64.183743,187.1830391,58.498645,,,88.754442,60.900629,,0.0,3.279,2.659,4.198,0.445,-38.904,5.8623882,4.221,95624.5622,0.0005128,8.75,31.79,0.637938,255.6777,,2.8717,189.8338,58.7628,23.7,16.0
177,c4d_151103_080853_opi_z_v1.fits.fz e8c77083f675571b32e5a4ed0f6bcc82,57329.3383964857,z,90,72.7724423553535,-26.6049527518714,DES survey hex 717-278 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/e8c77083f675571b32e5a4ed0f6bcc82,,PANSTARRS (C/2012 A1),2004-Jul-14 04:22:23.359,2453200.682214803,10.1,,5.25,,217.514682952,49.119532307,217.557523287,49.103757284,-3.29826,-4.96913,,,,,347090.635,98894.858,39.928,,999,,23.477,,99.93733,,296208.1,*,,,,,,294.41,0.0,,,192.560634,58.974594,20.13249293403,-7.4035013,20.2438724167415,7.6969215,168.36315299,9.3805812,25.5122999,82.28,/T,2.8694,98.2,9.6527,94.8841,114.328,125.622,0.60804,Boo,64.183716,187.1868192,58.4588426,,,88.732473,60.939021,,0.0,3.276,2.66,4.196,0.444,-38.938,5.8586595,4.219,95576.7798,0.0005127,8.9,32.35,0.63762,255.6871,,2.869,189.8251,58.743,23.7,16.0
178,c4d_151105_075944_opi_i_v1.fits.fz f66f88695b5397507a8e1a31a1dd5abf,57331.332069219,i,90,72.473650162683,-26.8064761075902,DES survey hex 717-278 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/f66f88695b5397507a8e1a31a1dd5abf,,PANSTARRS (C/2012 A1),2004-Jul-15 04:22:23.359,2453201.682214803,10.1,,5.25,,217.481662367,49.086249946,217.524441563,49.070482331,-3.18419,-5.0176,,,,,343964.015,99338.239,40.225,,999,,23.477,,99.93746,,294434.6,*,,,,,,293.56,0.0,,,192.542302,58.975234,20.1282170708,-7.403823,20.2483027921511,7.6439483,168.3999993,9.3815851,25.4179948,81.7874,/T,2.8664,91.6,4.8607,95.3796,113.48,125.551,0.64766,Boo,64.183689,187.1920984,58.4192322,,,88.708957,60.977049,,0.0,3.273,2.661,4.194,0.444,-38.972,5.8551071,4.218,95528.1599,0.0005126,9.05,32.91,0.637295,255.6966,,2.866,189.8171,58.7233,23.7,16.0
179,c4d_151105_080144_opi_z_v1.fits.fz 9396d4d0dc6160e9593e0643233eb38d,57331.3334411863,z,90,72.4734419666452,-26.8066125802264,DES survey hex 717-278 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/9396d4d0dc6160e9593e0643233eb38d,,PANSTARRS (C/2012 A1),2004-Jul-16 04:22:23.359,2453202.682214803,10.1,,5.25,,217.449827116,49.052650498,217.492550026,49.036885539,-3.06961,-5.06419,,,,,340852.434,99802.422,40.511,,999,,23.477,,99.9376,,292665.9,*,,,,,,292.71,0.0,,,192.523961,58.975871,20.12394102102,-7.4041446,20.2527012331029,7.5863402,168.43658002,9.3825894,25.3247559,81.2961,/T,2.8633,84.9,1.6857,95.8741,112.631,125.481,0.68709,Boo,64.183662,187.1988603,58.379825,,,88.683904,61.0147,,0.0,3.27,2.662,4.193,0.444,-39.007,5.8517302,4.216,95478.708,0.0005125,9.21,33.46,0.636965,255.706,,2.8628,189.81,58.7037,23.7,16.0
180,c4d_151114_072235_opi_r_v1.fits.fz f750c7efe56491e92e657d52d0e7ef04,57340.3062483826,r,90,71.057748962429,-27.640445000691,DES survey hex 699-288 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/f750c7efe56491e92e657d52d0e7ef04,,PANSTARRS (C/2012 A1),2004-Jul-17 04:22:23.359,2453203.682214803,10.1,,5.25,,217.419180813,49.018746531,217.461849541,49.002980846,-2.95456,-5.10889,,,,,337755.359,100287.232,40.785,,999,,23.477,,99.93775,,290902.3,*,,,,,,291.87,0.0,,,192.505613,58.976507,20.11966478471,-7.404466,20.2570650676527,7.5241161,168.47287292,9.383594,25.2326095,80.8062,/T,2.8599,78.3,0.2564,96.3673,111.781,125.412,0.7263,Boo,64.183635,187.2070879,58.3406322,,,88.657321,61.051965,,0.0,3.267,2.663,4.191,0.444,-39.042,5.8485276,4.215,95428.43,0.0005124,9.36,34.02,0.63663,255.7155,,2.8594,189.8035,58.6842,23.7,16.0
181,c4d_151114_072437_opi_g_v1.fits.fz 8ea1a3599b5ec5ae74bff814e55068ec,57340.3076377811,g,90,71.0575217378824,-27.6405637170741,DES survey hex 699-288 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/8ea1a3599b5ec5ae74bff814e55068ec,,PANSTARRS (C/2012 A1),2004-Jul-18 04:22:23.359,2453204.682214803,10.1,,5.25,,217.389726489,48.984550747,217.432339829,48.968782722,-2.8391,-5.15167,,,,,334672.251,100792.493,41.049,,999,,23.477,,99.9379,,289144.3,*,,,,,,291.02,0.0,,,192.487256,58.97714,20.11538836186,-7.4047873,20.2613916377716,7.4573055,168.50885591,9.3845989,25.1415902,80.3178,/T,2.8563,72.1,0.6624,96.8592,110.931,125.344,0.7653,Boo,64.183608,187.216764,58.3016648,,,88.629218,61.088831,,0.0,3.265,2.664,4.19,0.444,-39.078,5.8454982,4.214,95377.3322,0.0005123,9.51,34.56,0.636289,255.725,,2.8558,189.7979,58.6647,24.0,16.0
182,c4d_151116_083017_opi_z_v1.fits.fz b47e3cf3ce1568f3434b78ecdb18d0a8,57342.3532569608,z,90,70.7211732015743,-27.8124213279233,DES survey hex 717-278 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/b47e3cf3ce1568f3434b78ecdb18d0a8,,PANSTARRS (C/2012 A1),2004-Jul-19 04:22:23.359,2453205.682214803,10.1,,5.25,,217.361466577,48.950075959,217.404019917,48.934305909,-2.72328,-5.19252,,,,,331602.571,101318.02,41.302,,999,,23.477,,99.93807,,287392.1,*,,,,,,290.16,0.0,,,192.46889,58.977771,20.11111175248,-7.4051086,20.2656783056256,7.385949,168.54450704,9.3856041,25.0517431,79.8311,/T,2.8525,66.4,2.9441,97.3496,110.08,125.278,0.80407,Boo,64.183581,187.2278714,58.2629339,,,88.599606,61.125289,,0.0,3.262,2.665,4.189,0.444,-39.114,5.8426405,4.212,95325.4212,0.0005122,9.66,35.11,0.635943,255.7344,,2.852,189.793,58.6454,23.7,16.0
183,c4d_151201_063102_opi_z_v1.fits.fz 8668a789d668df0fb405534d5ecfd38e,57357.2704687513,z,90,68.1822044594104,-28.8381526650013,DES survey hex 679-298 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/8668a789d668df0fb405534d5ecfd38e,,PANSTARRS (C/2012 A1),2004-Jul-20 04:22:23.359,2453206.682214803,10.1,,5.25,,217.334402888,48.915335071,217.376888689,48.899565094,-2.60717,-5.23143,,,,,328545.773,101863.627,41.544,,999,,23.477,,99.93825,,285646.3,*,,,,,,289.31,0.0,,,192.450516,58.978399,20.10683495656,-7.4054297,20.2699224603874,7.3100996,168.5798046,9.3866097,24.9631248,79.3462,/T,2.8485,61.5,7.085,97.8385,109.227,125.212,0.8426,Boo,64.183554,187.2403941,58.2244502,,,88.568497,61.161327,,0.0,3.26,2.666,4.188,0.444,-39.151,5.8399534,4.211,95272.7038,0.0005121,9.81,35.65,0.635591,255.7439,,2.8479,189.7888,58.6262,23.7,16.0
184,c4d_151201_075503_opi_i_v1.fits.fz 2125b7619d3a60da500d65f3bff73a12,57357.328816081,i,90,68.1721273893445,-28.8413196283963,DES survey hex 679-298 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/2125b7619d3a60da500d65f3bff73a12,,PANSTARRS (C/2012 A1),2004-Jul-21 04:22:23.359,2453207.682214803,10.1,,5.25,,217.308536602,48.880341042,217.350945408,48.864574571,-2.49082,-5.26839,,,,,325501.309,102429.117,41.774,,999,,23.477,,99.93843,,283907.3,*,,,,,,288.46,0.0,,,192.432133,58.979025,20.10255797412,-7.4057507,20.2741215253728,7.2298226,168.61472715,9.3876155,24.8758051,78.8631,/T,2.8442,57.8,13.0058,98.3257,108.374,125.148,0.88088,Boo,64.183528,187.2543175,58.1862242,,,88.535903,61.196934,,0.0,3.257,2.668,4.187,0.444,-39.188,5.8374351,4.21,95219.1876,0.000512,9.96,36.18,0.635234,255.7534,,2.8437,189.7854,58.6071,23.7,16.0
186,c4d_151203_072603_opi_r_v1.fits.fz 346819945da5cb467bd555110d81e83f,57359.3086805986,r,90,67.8302685400246,-28.9456459801795,DES survey hex 679-298 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/346819945da5cb467bd555110d81e83f,,PANSTARRS (C/2012 A1),2004-Jul-23 04:22:23.359,2453209.682214803,10.1,,5.25,,217.260397762,48.809645498,217.302624407,48.793897695,-2.25765,-5.33647,,,,,319447.154,103618.921,42.199,,999,,23.477,,99.93882,,280450.9,*,,,,,,286.75,0.0,,,192.395342,58.980271,20.09400344966,-7.4063923,20.2823742936333,7.0563105,168.68336333,9.3896282,24.7054148,77.903,/T,2.8352,55.5,29.5341,99.2946,106.662,125.023,0.95664,Boo,64.183475,187.2863167,58.110587,,,88.466313,61.266819,,0.0,3.252,2.671,4.185,0.444,-39.263,5.8328988,4.208,95109.7891,0.0005118,10.25,37.24,0.634504,255.7723,,2.8346,189.7808,58.5692,23.7,16.0
187,c4d_151204_062147_opi_r_v1.fits.fz 0ab45139beb84b4eb0fa1cd97da31b30,57360.264016225,r,90,67.6654485365485,-28.9932901193446,DES survey hex 679-298 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/0ab45139beb84b4eb0fa1cd97da31b30,,PANSTARRS (C/2012 A1),2004-Jul-24 04:22:23.359,2453210.682214803,10.1,,5.25,,217.238124385,48.773969874,217.280250607,48.758235383,-2.14095,-5.36761,,,,,316436.337,104242.797,42.395,,999,,23.477,,99.93903,,278734.3,*,,,,,,285.89,0.0,,,192.376934,58.98089,20.08972590765,-7.406713,20.2864230796504,6.9632689,168.71703606,9.390635,24.6225624,77.4262,/T,2.8304,57.4,39.6313,99.7761,105.804,124.962,0.9941,Boo,64.183449,187.3043714,58.0731956,,,88.429345,61.301076,,0.0,3.25,2.672,4.184,0.444,-39.302,5.8308773,4.207,95053.923,0.0005117,10.39,37.76,0.634132,255.7818,,2.8298,189.7795,58.5505,23.7,16.0
188,c4d_151209_065314_opi_g_v1.fits.fz d380835b94f89aab870e5dc1180b5a57,57365.2858834969,g,90,66.8030961283413,-29.2142486063246,DES survey hex 660-308 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/d380835b94f89aab870e5dc1180b5a57,,PANSTARRS (C/2012 A1),2004-Jul-25 04:22:23.359,2453211.682214803,10.1,,5.25,,217.217046796,48.738092803,217.259072425,48.722371332,-2.02425,-5.39684,,,,,313435.6,104885.679,42.578,,999,,23.477,,99.93925,,277026.0,*,,,,,,285.03,0.0,,,192.358517,58.981507,20.08544817913,-7.4070335,20.2904169554868,6.8661856,168.75025211,9.3916421,24.5414493,76.9517,/T,2.8254,61.1,50.4709,100.2554,104.945,124.903,1.03127,Boo,64.183423,187.3237832,58.036102,,,88.39095,61.334863,,0.0,3.248,2.674,4.183,0.444,-39.34,5.8290178,4.207,94997.2903,0.0005116,10.53,38.28,0.633754,255.7913,,2.8247,189.779,58.5319,24.0,16.0
189,c4d_151209_065513_opi_g_v1.fits.fz dd70aa41636b576ceab38672920ff59c,57365.2872731707,g,90,66.8028590152488,-29.2143023403783,DES survey hex 679-298 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/dd70aa41636b576ceab38672920ff59c,,PANSTARRS (C/2012 A1),2004-Jul-26 04:22:23.359,2453212.682214803,10.1,,5.25,,217.1971631,48.702026937,217.239093825,48.686315066,-1.9076,-5.42418,,,,,310444.368,105547.321,42.749,,999,,23.477,,99.93947,,275326.4,*,,,,,,284.17,0.0,,,192.340092,58.982121,20.0811702641,-7.4073539,20.2943536221355,6.7651842,168.78299237,9.3926495,24.4622349,76.4796,/T,2.8202,66.6,61.5735,100.7326,104.083,124.844,1.06813,Boo,64.183396,187.3445417,57.9993152,,,88.351142,61.368172,,0.0,3.245,2.676,4.183,0.443,-39.379,5.8273183,4.206,94939.8995,0.0005114,10.67,38.79,0.633371,255.8008,,2.8196,189.7792,58.5135,24.0,16.0
190,c4d_160114_041750_opi_r_v1.fits.fz 20d8800e0dd613a0c9c39bea498c2bd9,57401.1779488331,r,90,61.4472290677286,-29.4595173194679,DES survey hex 606-298 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/20d8800e0dd613a0c9c39bea498c2bd9,,PANSTARRS (C/2012 A1),2004-Jul-27 04:22:23.359,2453213.682214803,10.1,,5.25,,217.1784709,48.665784712,217.220317898,48.650075854,-1.79105,-5.44968,,,,,307462.061,106227.471,42.909,,999,,23.476,,99.9397,,273635.9,*,,,,,,283.31,0.0,,,192.321659,58.982733,20.07689216258,-7.4076742,20.2982308534581,6.6603922,168.81523832,9.3936573,24.3850986,76.01,/T,2.8149,73.5,72.3601,101.2074,103.22,124.787,1.10468,Boo,64.18337,187.3666338,57.9628442,,,88.309939,61.400992,,0.0,3.243,2.678,4.182,0.443,-39.419,5.8257768,4.206,94881.7595,0.0005113,10.81,39.29,0.632983,255.8103,,2.8142,189.78,58.4952,23.7,16.0
